2020-09-02 17:39:45 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 418
2020-09-02 17:39:45 - PHP Warning:  fopen(/Library/WebServer/Documents/opencart/system/storage/modification/system/library/config.php): failed to open stream: Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 414
2020-09-02 17:39:45 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 416
2020-09-02 17:39:45 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 418
2020-09-02 17:39:45 - PHP Warning:  fopen(/Library/WebServer/Documents/opencart/system/storage/modification/system/library/language.php): failed to open stream: Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 414
2020-09-02 17:39:45 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 416
2020-09-02 17:39:45 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 418
2020-09-02 17:39:45 - PHP Warning:  fopen(/Library/WebServer/Documents/opencart/system/storage/modification/system/library/template/php.php): failed to open stream: Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 414
2020-09-02 17:39:45 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 416
2020-09-02 17:39:45 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 418
2020-09-02 17:39:45 - PHP Warning:  fopen(/Library/WebServer/Documents/opencart/system/storage/modification/system/library/template/tiwg.php): failed to open stream: Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 414
2020-09-02 17:39:45 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 416
2020-09-02 17:39:45 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 418
2020-09-02 17:39:45 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/system/library/log.php on line 14
2020-09-02 17:46:54 - PHP Warning:  unlink(/Library/WebServer/Documents/opencart/system/storage/modification/system/library/template/tiwg.php): Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 101
2020-09-02 17:46:54 - PHP Warning:  unlink(/Library/WebServer/Documents/opencart/system/storage/modification/system/library/template/php.php): Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 101
2020-09-02 17:46:54 - PHP Warning:  rmdir(/Library/WebServer/Documents/opencart/system/storage/modification/system/library/template): Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 105
2020-09-02 17:46:54 - PHP Warning:  unlink(/Library/WebServer/Documents/opencart/system/storage/modification/system/library/language.php): Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 101
2020-09-02 17:46:54 - PHP Warning:  unlink(/Library/WebServer/Documents/opencart/system/storage/modification/system/library/config.php): Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 101
2020-09-02 17:46:54 - PHP Warning:  rmdir(/Library/WebServer/Documents/opencart/system/storage/modification/system/library): Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 105
2020-09-02 17:46:54 - PHP Warning:  unlink(/Library/WebServer/Documents/opencart/system/storage/modification/system/engine/loader.php): Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 101
2020-09-02 17:46:54 - PHP Warning:  unlink(/Library/WebServer/Documents/opencart/system/storage/modification/system/engine/action.php): Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 101
2020-09-02 17:46:54 - PHP Warning:  rmdir(/Library/WebServer/Documents/opencart/system/storage/modification/system/engine): Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 105
2020-09-02 17:46:54 - PHP Warning:  rmdir(/Library/WebServer/Documents/opencart/system/storage/modification/system): Directory not empty in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 105
2020-09-02 17:46:54 - PHP Warning:  fopen(/Library/WebServer/Documents/opencart/system/storage/logs/ocmod.log): failed to open stream: Permission denied in /Library/WebServer/Documents/opencart/system/library/log.php on line 6
2020-09-02 17:46:54 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/system/library/log.php on line 10
2020-09-02 17:46:54 - PHP Warning:  fopen(/Library/WebServer/Documents/opencart/system/storage/modification/system/engine/action.php): failed to open stream: Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 414
2020-09-02 17:46:54 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 416
2020-09-02 17:46:54 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 418
2020-09-02 17:46:54 - PHP Warning:  fopen(/Library/WebServer/Documents/opencart/system/storage/modification/system/engine/loader.php): failed to open stream: Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 414
2020-09-02 17:46:54 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 416
2020-09-02 17:46:54 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 418
2020-09-02 17:46:54 - PHP Warning:  fopen(/Library/WebServer/Documents/opencart/system/storage/modification/system/library/config.php): failed to open stream: Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 414
2020-09-02 17:46:54 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 416
2020-09-02 17:46:54 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 418
2020-09-02 17:46:54 - PHP Warning:  fopen(/Library/WebServer/Documents/opencart/system/storage/modification/system/library/language.php): failed to open stream: Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 414
2020-09-02 17:46:54 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 416
2020-09-02 17:46:54 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 418
2020-09-02 17:46:54 - PHP Warning:  fopen(/Library/WebServer/Documents/opencart/system/storage/modification/system/library/template/php.php): failed to open stream: Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 414
2020-09-02 17:46:54 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 416
2020-09-02 17:46:54 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 418
2020-09-02 17:46:54 - PHP Warning:  fopen(/Library/WebServer/Documents/opencart/system/storage/modification/system/library/template/tiwg.php): failed to open stream: Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 414
2020-09-02 17:46:54 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 416
2020-09-02 17:46:54 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 418
2020-09-02 17:46:54 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/system/library/log.php on line 14
2020-09-02 17:49:50 - PHP Warning:  unlink(/Library/WebServer/Documents/opencart/system/storage/modification/system/library/template/tiwg.php): Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 101
2020-09-02 17:49:50 - PHP Warning:  unlink(/Library/WebServer/Documents/opencart/system/storage/modification/system/library/template/php.php): Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 101
2020-09-02 17:49:50 - PHP Warning:  rmdir(/Library/WebServer/Documents/opencart/system/storage/modification/system/library/template): Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 105
2020-09-02 17:49:50 - PHP Warning:  unlink(/Library/WebServer/Documents/opencart/system/storage/modification/system/library/language.php): Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 101
2020-09-02 17:49:50 - PHP Warning:  unlink(/Library/WebServer/Documents/opencart/system/storage/modification/system/library/config.php): Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 101
2020-09-02 17:49:50 - PHP Warning:  rmdir(/Library/WebServer/Documents/opencart/system/storage/modification/system/library): Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 105
2020-09-02 17:49:50 - PHP Warning:  unlink(/Library/WebServer/Documents/opencart/system/storage/modification/system/engine/loader.php): Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 101
2020-09-02 17:49:50 - PHP Warning:  unlink(/Library/WebServer/Documents/opencart/system/storage/modification/system/engine/action.php): Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 101
2020-09-02 17:49:50 - PHP Warning:  rmdir(/Library/WebServer/Documents/opencart/system/storage/modification/system/engine): Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 105
2020-09-02 17:49:50 - PHP Warning:  rmdir(/Library/WebServer/Documents/opencart/system/storage/modification/system): Directory not empty in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 105
2020-09-02 17:49:50 - PHP Warning:  fopen(/Library/WebServer/Documents/opencart/system/storage/logs/ocmod.log): failed to open stream: Permission denied in /Library/WebServer/Documents/opencart/system/library/log.php on line 6
2020-09-02 17:49:50 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/system/library/log.php on line 10
2020-09-02 17:49:50 - PHP Warning:  fopen(/Library/WebServer/Documents/opencart/system/storage/modification/system/engine/action.php): failed to open stream: Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 414
2020-09-02 17:49:50 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 416
2020-09-02 17:49:50 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 418
2020-09-02 17:49:50 - PHP Warning:  fopen(/Library/WebServer/Documents/opencart/system/storage/modification/system/engine/loader.php): failed to open stream: Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 414
2020-09-02 17:49:50 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 416
2020-09-02 17:49:50 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 418
2020-09-02 17:49:50 - PHP Warning:  fopen(/Library/WebServer/Documents/opencart/system/storage/modification/system/library/config.php): failed to open stream: Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 414
2020-09-02 17:49:50 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 416
2020-09-02 17:49:50 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 418
2020-09-02 17:49:50 - PHP Warning:  fopen(/Library/WebServer/Documents/opencart/system/storage/modification/system/library/language.php): failed to open stream: Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 414
2020-09-02 17:49:50 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 416
2020-09-02 17:49:50 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 418
2020-09-02 17:49:50 - PHP Warning:  fopen(/Library/WebServer/Documents/opencart/system/storage/modification/system/library/template/php.php): failed to open stream: Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 414
2020-09-02 17:49:50 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 416
2020-09-02 17:49:50 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 418
2020-09-02 17:49:50 - PHP Warning:  fopen(/Library/WebServer/Documents/opencart/system/storage/modification/system/library/template/tiwg.php): failed to open stream: Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 414
2020-09-02 17:49:50 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 416
2020-09-02 17:49:50 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 418
2020-09-02 17:49:50 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /Library/WebServer/Documents/opencart/system/library/log.php on line 14
2020-09-02 17:50:05 - PHP Warning:  unlink(/Library/WebServer/Documents/opencart/system/storage/modification/system/library/template/tiwg.php): Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 486
2020-09-02 17:50:05 - PHP Warning:  unlink(/Library/WebServer/Documents/opencart/system/storage/modification/system/library/template/php.php): Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 486
2020-09-02 17:50:05 - PHP Warning:  rmdir(/Library/WebServer/Documents/opencart/system/storage/modification/system/library/template): Permission denied in /Library/WebServer/Documents/opencart/admin/controller/extension/modification.php on line 490
